Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,21.450001,22.5,21.129998999999998,21.99,1468300,21.99
2015-12-16,24.5,26.190001000000002,24.35,25.75,3892900,25.75
2015-12-17,27.0,28.35,26.0,26.08,3766600,26.08
2015-12-18,26.18,27.02,25.299999,26.950001,2035200,26.950001
2015-12-21,27.92,28.290001,26.65,27.85,2143400,27.85
2015-12-22,27.73,28.1,27.0,27.68,1351200,27.68
2015-12-23,27.73,28.219998999999998,27.290001,27.92,780500,27.92
2015-12-24,28.01,28.02,27.219998999999998,27.950001,327700,27.950001
2015-12-28,27.799999,27.855,26.969998999999998,27.6,559900,27.6
2015-12-29,27.709999,27.790001,27.190001000000002,27.530001000000002,458400,27.530001000000002
2015-12-30,27.33,29.5,27.299999,28.629998999999998,1556800,28.629998999999998
2015-12-31,28.34,28.84,27.83,28.17,554700,28.17
2016-01-04,25.879998999999998,28.52,25.809998999999998,28.0,1013600,28.0
2016-01-05,29.450001,30.059998999999998,28.879998999999998,29.49,1820500,29.49
2016-01-06,28.98,29.305,28.450001,29.129998999999998,1307600,29.129998999999998
2016-01-07,27.709999,28.610001,27.23,27.66,1224400,27.66
2016-01-08,28.6,28.74,25.48,26.709999,1037200,26.709999
2016-01-11,26.870001000000002,26.99,25.540001,26.120001000000002,837800,26.120001000000002
2016-01-12,26.4,26.915001,24.290001,25.139999,1140200,25.139999
2016-01-13,25.389999,25.780001000000002,23.799999,24.25,824300,24.25
2016-01-14,23.92,25.200001,22.24,24.76,1604300,24.76
