Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,19.440001000000002,20.700001,19.395,20.24,124400,20.24
2015-12-16,20.66,21.02,20.059998999999998,20.26,117700,20.26
2015-12-17,20.540001,22.225,19.924999,20.780001000000002,83900,20.780001000000002
2015-12-18,20.620001000000002,22.059998999999998,20.620001000000002,21.57,690500,21.57
2015-12-21,21.98,23.549999,21.02,23.15,105700,23.15
2015-12-22,23.209999,23.209999,22.1,22.4,124600,22.4
2015-12-23,22.629998999999998,23.0,21.221001,22.139999,54600,22.139999
2015-12-24,22.360001,22.389999,21.24,21.389999,48800,21.389999
2015-12-28,21.24,21.645,20.59,20.959999,57400,20.959999
2015-12-29,20.67,21.459999,20.530001000000002,21.360001,122000,21.360001
2015-12-30,21.120001000000002,22.18,20.889999,21.530001000000002,117000,21.530001000000002
2015-12-31,21.5,21.59,20.030001000000002,20.08,55000,20.08
2016-01-04,19.440001000000002,19.91,18.35,19.389999,110100,19.389999
2016-01-05,19.215,19.334999,18.040001,18.16,107700,18.16
2016-01-06,17.57,17.57,16.540001,17.0,66600,17.0
2016-01-07,16.58,16.790001,15.53,15.53,96800,15.53
2016-01-08,15.87,16.440001000000002,14.29,14.92,264000,14.92
2016-01-11,15.05,15.05,12.55,13.22,198700,13.22
2016-01-12,13.4,13.89,12.19,12.88,111800,12.88
2016-01-13,13.147,13.147,10.555,10.66,109800,10.66
