Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,15.76,17.190001000000002,15.76,17.120001000000002,260500,17.120001000000002
2015-12-16,17.17,17.360001,16.68,17.16,155300,17.16
2015-12-17,17.16,17.73,17.139999,17.530001000000002,186800,17.530001000000002
2015-12-18,17.459999,17.58,16.639999,16.77,421300,16.77
2015-12-21,16.85,17.040001,16.4,16.52,106100,16.52
2015-12-22,16.530001000000002,17.23,16.23,17.08,188400,17.08
2015-12-23,17.18,17.51,17.059998999999998,17.290001,139800,17.290001
2015-12-24,17.299999,17.450001,17.18,17.379998999999998,89800,17.379998999999998
2015-12-28,17.26,17.290001,16.85,16.959999,113900,16.959999
2015-12-29,17.09,17.09,16.76,16.950001,92100,16.950001
2015-12-30,16.98,17.09,16.799999,16.85,206500,16.85
2015-12-31,16.73,16.950001,16.440001000000002,16.450001,141800,16.450001
2016-01-04,16.200001,16.200001,15.58,15.67,165600,15.67
2016-01-05,15.77,15.79,15.31,15.49,284900,15.49
2016-01-06,15.3,15.6,15.16,15.41,302400,15.41
2016-01-07,15.13,15.36,15.03,15.06,244900,15.06
2016-01-08,15.1,15.19,14.25,14.43,396100,14.43
2016-01-11,14.77,14.77,14.21,14.41,217300,14.41
2016-01-12,14.49,14.6,13.67,13.98,219900,13.98
2016-01-13,13.98,14.18,13.34,13.49,200100,13.49
2016-01-14,13.65,13.65,13.01,13.37,245100,13.37
