Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,81.940002,82.760002,79.440002,80.239998,545300,80.239998
2015-12-22,80.540001,81.739998,79.110001,81.199997,308300,81.199997
2015-12-23,81.5,82.040001,80.220001,81.160004,287500,81.160004
2015-12-24,80.989998,81.459999,80.309998,80.809998,126900,80.809998
2015-12-28,80.68,80.730003,79.58000200000001,80.41999799999999,306600,80.41999799999999
2015-12-29,80.849998,81.959999,79.760002,80.58000200000001,253900,80.58000200000001
2015-12-30,80.389999,80.900002,79.059998,79.300003,227900,79.300003
2015-12-31,78.879997,79.58000200000001,77.839996,78.209999,321800,78.209999
2016-01-04,78.209999,78.209999,75.779999,76.449997,475000,76.449997
2016-01-05,76.449997,79.440002,76.410004,78.120003,364300,78.120003
2016-01-06,77.150002,77.800003,75.559998,76.699997,349300,76.699997
2016-01-07,75.190002,76.650002,73.769997,73.779999,659600,73.779999
2016-01-08,73.760002,74.400002,72.349998,72.599998,674400,72.599998
2016-01-11,72.879997,74.709999,72.16999799999999,72.93,635700,72.93
2016-01-12,73.550003,76.629997,73.489998,75.199997,538900,75.199997
2016-01-13,75.199997,75.959999,71.82,72.18,438500,72.18
2016-01-14,72.33000200000001,74.110001,71.660004,73.5,373500,73.5
2016-01-15,71.730003,72.940002,70.33000200000001,72.120003,637800,72.120003
